symbol,marketCap,ipoYear,sector,industry,date,open,high,low,close,volume,adjclose
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-20,5.07,5.07,4.93,4.98,90500,4.98
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-17,4.9,5.05,4.9,5.03,60800,5.03
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-16,4.91,5.11,4.87,4.88,111500,4.88
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-15,4.98,5.11,4.83,4.84,209400,4.84
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-14,4.96,5,4.86,4.95,144400,4.95
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-13,4.8,4.94,4.79,4.84,219300,4.84
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-10,4.79,4.85,4.72,4.77,184500,4.77
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-09,4.77,4.89,4.68,4.73,221200,4.73
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-08,4.72,4.85,4.66,4.71,306000,4.71
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-07,4.75,4.82,4.57,4.66,488400,4.66
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-06,4.18,4.57,4.07,4.55,629700,4.55
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-02,4.27,4.27,4.15,4.18,20500,4.18
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-01,4.26,4.28,4.2,4.26,40000,4.26
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-30,4.25,4.34,4.21,4.27,97500,4.27
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-29,4.05,4.25,3.93,4.21,116200,4.21
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-26,4.23,4.28,4.07,4.08,1496100,4.08
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-25,4.24,4.29,4.17,4.23,124500,4.23
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-24,4.24,4.32,4.16,4.21,36400,4.21
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-23,4.16,4.25,4.16,4.24,42700,4.24
